Date,Open,High,Low,Close,Volume,Ticker,Ret,SMA20,SMA50,EMA20,MACD,MACD_sig,MACD_diff,RSI14,BB_mid,BB_high,BB_low,BB_pct,BB_width
2022-09-13,157.59378043168627,158.2245492067868,151.15796283866058,151.62118530273438,122656600.0,AAPL,-0.0586795030082688,160.65400466918945,156.48417846679686,157.86624645199166,-1.409112309191471,-0.2984349938470836,-1.1106773153443874,41.02156075080142,160.65400466918945,174.45137720614065,146.85663213223825,0.1726616121198445,17.176506200840805
2022-09-14,152.55747250443096,154.83416823515125,151.39449874644285,153.06997680664062,87965400.0,AAPL,0.0095553368812777,159.7807815551758,156.8108526611328,157.40945886672014,-1.5830358778970606,-0.5553551706570791,-1.0276807072399814,43.35648440015357,159.7807815551758,173.17093888671658,146.390624223635,0.2494127745337342,16.7606607017589
2022-09-15,152.41949313430064,153.0009950551444,149.19666683175186,150.17237854003906,90481100.0,AAPL,-0.0189298928963831,158.68777618408205,157.00103424072265,156.72021312132193,-1.932407927319531,-0.8307657219895694,-1.1016422053299617,39.94995118840293,158.68777618408205,171.4533979834577,145.92215438470635,0.1664714896825699,16.088979386247395
2022-09-16,149.02911266156946,149.16709284731172,146.2300624042499,148.52645874023438,162278800.0,AAPL,-0.0109602033064013,157.53218688964844,157.09078063964844,155.93985556121837,-2.3154091702723463,-1.127694411646125,-1.1877147586262211,38.11787943226162,157.53218688964844,169.56244463027508,145.5019291490218,0.1257051035988455,15.273396476180263
2022-09-19,147.15653583891242,152.3308163679246,146.9495730394325,152.25196838378906,81474200.0,AAPL,0.0250831378809779,156.69247436523438,157.241455078125,155.588628210987,-2.2919032873988385,-1.3605361867966677,-0.9313671006021708,44.33990608224694,156.69247436523438,167.6910282613951,145.69392046907365,0.2981322806903114,14.03839455687477
2022-09-20,151.18751937449895,155.80002796923935,150.8721425262803,154.6370391845703,107689800.0,AAPL,0.0156652871296159,156.1666687011719,157.4825454711914,155.4980006846616,-2.0571063832344976,-1.4998502260842337,-0.5572561571502639,47.94820615758506,156.1666687011719,166.4812530065788,145.85208439576496,0.4258511312084705,13.209712919142936
2022-09-21,155.07071436973487,156.4505314848071,151.38466523487358,151.5029296875,101696800.0,AAPL,-0.020267521375196,155.50091323852538,157.64146636962892,155.11751773255097,-2.0997203198152192,-1.6198242448304307,-0.4798960749847885,43.91909143850092,155.50091323852538,165.19619966871184,145.80562680833893,0.2938181826904263,12.469748541366696
2022-09-22,150.18223999013938,152.24209247430875,148.73344048207258,150.53704833984375,86652500.0,AAPL,-0.0063753311546419,154.77207870483397,157.78835327148437,154.68128255229314,-2.1862292343873264,-1.73310524274181,-0.4531239916455165,42.72746883534433,154.77207870483397,163.6219649709484,145.92219243871955,0.2607296728091383,11.43602430124629
2022-09-23,149.00940896271652,149.28536935652284,146.41733629369975,148.26036071777344,96029900.0,AAPL,-0.0151237695117456,153.8062126159668,157.83104736328124,154.06976618710078,-2.4107086873438845,-1.868625931662225,-0.5420827556816596,39.974313296019645,153.8062126159668,160.8965366042288,146.71588862770477,0.108914070261495,9.219814814588265
2022-09-26,147.50148298209515,151.55220575538115,147.48176722784044,148.59547424316406,93339400.0,AAPL,0.0022603042631774,153.17297973632813,157.84698059082032,153.548405049583,-2.5323777360696624,-2.0013762925437124,-0.53100144352595,40.58121802288693,153.17297973632813,159.72942200858915,146.6165374640671,0.1509154429277472,8.56083401073385
